unidad,sector,periodo,moneda,ingresos_mill,ebitda_mill,utilidad_neta_mill,activos_mill,patrimonio_mill,deuda_mill,caja_mill,activo_corriente_mill,pasivo_corriente_mill
U03,Retail,2024Q1,COP,59010.62,8975.31,3712.15,121128.28,60748.11,52610.25,9325.56,32817.73,22531.13
U03,Retail,2024Q2,COP,63794.91,9580.43,3943.46,120670.04,60310.98,54126.69,8861.03,32041.59,21393.28
U03,Retail,2024Q3,COP,65597.08,9610.84,4667.71,123084.11,58728.6,56825.59,7352.98,35976.52,25814.56
U03,Retail,2024Q4,COP,73533.72,9919.89,4533.8,129774.32,65909.2,56513.37,8862.22,39150.31,28059.76
U03,Retail,2025Q1,COP,61484.3,7387.69,3602.46,127745.44,65423.29,55860.0,7691.23,32013.73,22917.26
U03,Retail,2025Q2,COP,69371.15,8539.64,3733.4,131389.8,61215.24,60415.0,9503.35,34682.46,25115.89
U03,Retail,2025Q3,COP,71621.16,8237.53,3494.88,126762.42,62213.78,56305.76,8053.13,37507.9,28970.05
U03,Retail,2025Q4,COP,79406.47,8885.31,3825.09,130523.54,58723.47,60450.62,6589.48,38100.81,30282.87
U04,Retail,2023Q1,COP,57797.45,10604.58,5230.09,119234.07,50733.06,57197.37,6410.21,30453.09,21442.35
U04,Retail,2023Q2,COP,61674.67,10369.1,4977.69,124680.69,52867.62,60383.13,8036.38,36752.17,27452.15
U04,Retail,2023Q3,COP,65099.14,12345.69,5471.62,122173.42,48226.13,59934.42,8768.01,29777.5,21310.64
U04,Retail,2023Q4,COP,70596.38,13411.34,5295.11,123391.24,54016.24,58946.19,10478.39,36914.13,26271.56
U04,Retail,2024Q1,COP,60458.45,11721.11,5242.3,124419.65,50969.85,60523.93,8446.52,32109.44,22342.05
U04,Retail,2024Q2,COP,65810.76,12505.57,6391.0,126170.32,52083.64,62466.96,8030.2,34878.19,25667.75
U04,Retail,2024Q3,COP,70989.53,13049.55,6342.68,128643.28,54917.17,61762.7,9327.9,36794.93,28071.97
U04,Retail,2024Q4,COP,73331.6,12410.32,6098.74,131427.8,60969.9,63117.63,6585.97,40112.86,30057.37
U04,Retail,2025Q1,COP,69154.94,12738.66,5879.68,132701.34,59446.47,61428.05,9323.39,37013.27,27174.0
U04,Retail,2025Q2,COP,72147.69,12619.86,5624.2,131262.25,59529.03,64488.82,9108.25,34018.87,23332.03
U04,Retail,2025Q3,COP,73425.01,14214.59,6520.9,134140.62,59507.2,64276.53,9984.18,35542.83,26102.2
U04,Retail,2025Q4,COP,77517.28,14842.13,6737.06,136139.64,63073.07,65569.04,9453.9,33776.19,24862.37
U05,Servicios,2023Q1,COP,70986.95,9759.54,4232.82,140911.92,56064.35,74254.43,9394.95,42185.74,30341.99
U05,Servicios,2023Q2,COP,69261.45,8883.25,4269.88,147011.03,62823.13,75742.66,10739.5,42023.87,29498.1
U05,Servicios,2023Q3,COP,75870.37,10187.67,4138.35,148031.34,50567.56,80172.8,13182.07,33596.3,26221.8
U05,Servicios,2023Q4,COP,86388.47,12330.7,5447.48,145604.65,60320.32,75988.64,7249.62,43696.46,33919.59
U05,Servicios,2024Q1,COP,74244.28,9888.47,3222.32,152198.18,57539.63,83196.67,10861.03,46436.12,35687.4
U05,Servicios,2024Q2,COP,78919.94,9674.08,4850.44,151851.92,60856.56,78215.12,10563.65,42377.88,29919.38
U05,Servicios,2024Q3,COP,78257.98,10393.23,5425.65,160874.83,66473.27,85022.17,13211.52,40263.34,29412.91
U05,Servicios,2024Q4,COP,90670.15,11239.5,5106.39,158991.36,60097.89,85149.09,9738.65,48660.56,34191.37
U05,Servicios,2025Q1,COP,81259.76,10050.78,3812.14,161155.82,61938.97,83347.16,12845.28,42088.35,29497.79
U05,Servicios,2025Q2,COP,86087.96,11542.36,5231.5,157601.63,63914.24,83192.03,12847.14,46668.27,33311.79
U05,Servicios,2025Q3,COP,90140.48,11738.42,5389.82,165501.58,68241.56,86182.55,14099.53,39051.04,27224.38
U05,Servicios,2025Q4,COP,96409.78,11841.59,6364.97,165536.02,66839.99,82908.48,10473.53,42727.12,32333.43
U06,Servicios,2023Q1,COP,70855.26,10805.86,5080.84,148718.99,86478.03,54304.7,10276.75,39782.46,30957.09
U06,Servicios,2023Q2,COP,74429.56,10523.02,5596.2,148223.06,82118.37,51617.79,11897.92,42387.84,32147.08
U06,Servicios,2023Q3,COP,81458.47,12718.13,6558.51,157077.01,89559.36,57530.1,12143.64,48055.97,31999.54
U06,Servicios,2023Q4,COP,88730.83,12232.36,4776.82,152039.02,77966.86,60107.51,10740.98,39699.52,28291.35
U06,Servicios,2024Q1,COP,74203.71,11653.07,5458.7,157636.07,85658.15,62986.41,13301.38,43085.87,33735.85
U06,Servicios,2024Q2,COP,81765.22,12563.39,6440.94,160240.96,88737.19,63420.98,13408.33,45189.0,33907.7
U06,Servicios,2024Q3,COP,84066.03,12583.43,5674.33,162131.8,79388.71,69527.2,11403.61,47131.04,33482.56
U06,Servicios,2024Q4,COP,96219.46,14365.73,6910.46,161174.77,80412.7,69734.13,10243.55,49894.24,41510.9
U06,Servicios,2025Q1,COP,83254.65,12446.57,5550.07,157895.02,69036.75,70701.94,8382.52,51698.98,37448.37
U06,Servicios,2025Q2,COP,87661.7,13258.47,5891.52,169897.3,81747.2,78039.43,10445.88,46347.5,35897.71
U06,Servicios,2025Q3,COP,91779.56,12988.93,6986.3,171111.47,78437.96,79925.79,12377.37,51872.54,37713.03
U06,Servicios,2025Q4,COP,97491.85,14244.86,6769.15,169776.23,77815.5,80520.43,14739.15,43252.93,30653.96
U07,Tecnología,2023Q1,COP,72602.55,11208.56,5203.21,159281.58,83344.56,61680.22,11766.02,45692.1,33791.21
U07,Tecnología,2023Q2,COP,82976.63,13654.26,6607.41,163924.74,87964.65,64361.43,12049.21,42059.47,29584.14
U07,Tecnología,2023Q3,COP,85876.84,13639.7,6349.91,163635.16,85451.03,62883.7,12016.71,47644.6,35221.55
U07,Tecnología,2023Q4,COP,91740.35,14597.11,6009.41,168915.59,81164.64,70320.12,8517.38,47755.92,34121.62
U07,Tecnología,2024Q1,COP,81091.4,13383.05,6037.29,167244.54,93866.94,61002.77,10383.05,47653.28,33557.6
U07,Tecnología,2024Q2,COP,90009.04,15050.2,8290.48,171271.93,96290.46,65646.33,11124.72,48444.0,36859.61
U07,Tecnología,2024Q3,COP,92750.16,14322.7,6330.11,167479.54,83256.84,67357.9,9305.24,45497.54,33692.87
U07,Tecnología,2024Q4,COP,104829.83,18956.3,8402.55,176018.09,93161.74,70376.97,11953.81,47351.08,33551.18
U07,Tecnología,2025Q1,COP,89465.81,15893.69,6760.11,179268.71,91870.44,69912.97,13110.54,46349.1,
U07,Tecnología,2025Q2,COP,95722.01,15785.72,7094.09,179973.27,93926.92,68389.02,11963.5,46010.17,31433.95
U07,Tecnología,2025Q3,COP,98848.65,16458.59,8270.93,184642.44,92881.1,73724.58,13150.75,55000.45,39501.48
U07,Tecnología,2025Q4,COP,111702.51,18160.31,8029.1,183782.75,94165.12,70742.92,11586.98,55621.26,40590.27
U08,Tecnología,2023Q1,COP,87129.1,16304.47,7598.12,180165.26,80036.02,78805.59,15573.29,49025.42,35685.98
U08,Tecnología,2023Q2,COP,96085.11,18056.34,8398.12,183697.64,83942.43,78917.38,12744.29,54868.96,44257.93
U08,Tecnología,2023Q3,COP,97383.8,17582.84,8626.98,185275.82,81059.34,82352.05,11723.88,55629.31,40380.57
U08,Tecnología,2023Q4,COP,106480.35,18684.36,7894.98,184007.19,82727.88,81519.69,17765.84,52700.61,43317.23
U08,Tecnología,2024Q1,COP,88362.58,17753.46,7877.87,185060.46,90506.05,77234.72,14983.4,53137.56,42808.1
U08,Tecnología,2024Q2,COP,99502.29,18254.89,8170.34,186320.12,90584.21,84712.81,11133.53,48356.6,38127.11
U08,Tecnología,2024Q3,COP,108841.54,20577.14,9939.47,198021.94,95371.92,90893.43,12859.89,55631.67,48166.86
U08,Tecnología,2024Q4,COP,107372.46,18913.21,9172.88,197422.02,95172.45,85954.92,11210.76,53753.17,50574.34
U08,Tecnología,2025Q1,COP,98181.45,18292.01,7938.69,197243.58,97282.14,89727.49,14191.88,58708.9,54497.18
U08,Tecnología,2025Q2,COP,106934.79,18088.16,7351.14,204385.81,98686.34,89326.88,18004.38,57581.21,52712.39
U08,Tecnología,2025Q3,COP,111220.59,19811.6,10171.88,200572.47,92279.82,91487.05,11544.58,53972.09,48873.35
U08,Tecnología,2025Q4,COP,123754.11,22479.36,10173.47,198922.32,-850.0,84612.87,16389.18,49895.05,49233.69
U09,Energía,2023Q1,USD,20.2,2.61,1.43,45.31,21.43,21.0,3.25,12.26,9.03
U09,Energía,2023Q2,USD,23.27,2.96,1.32,47.28,20.87,22.88,3.15,12.67,9.49
U09,Energía,2023Q3,USD,25.02,3.5,1.47,46.0,17.76,23.57,3.6,11.63,8.09
U09,Energía,2023Q4,USD,27.24,3.72,1.76,47.98,19.43,23.76,3.3,13.46,9.94
U09,Energía,2024Q1,USD,23.51,2.98,1.3,48.49,22.61,23.44,3.07,12.19,8.0
U09,Energía,2024Q2,USD,25.13,3.72,1.55,49.26,20.8,23.62,2.99,15.08,9.96
U09,Energía,2024Q3,USD,26.13,3.73,1.97,49.61,19.0,24.78,3.48,13.72,10.1
U09,Energía,2024Q4,USD,28.85,3.72,1.78,51.21,22.58,23.98,3.26,14.1,10.4
U09,Energía,2025Q1,USD,25.36,3.54,1.73,51.76,20.03,25.6,3.86,14.07,10.27
U09,Energía,2025Q2,USD,28.51,3.9,1.88,51.54,19.94,25.75,2.6,15.27,11.23
U09,Energía,2025Q3,USD,27.86,3.59,1.53,52.94,24.61,25.17,4.15,15.59,10.43
U09,Energía,2025Q4,USD,31.79,4.51,1.9,52.72,23.57,25.78,4.83,13.69,9.57
U10,Energía,2023Q1,COP,95028.45,13498.19,5949.41,201505.41,75979.09,104619.04,14129.44,62055.17,41965.81
U10,Energía,2023Q2,COP,101424.24,14541.65,6512.24,207553.55,77924.51,107743.68,16819.41,51644.91,36055.28
U10,Energía,2023Q3,COP,111463.95,17103.09,8995.41,209672.53,79385.46,109968.97,15751.7,64835.1,47585.45
U10,Energía,2023Q4,COP,122174.24,19971.44,9995.83,207941.08,88307.39,107830.76,16166.71,60163.66,43793.76
U10,Energía,2024Q1,COP,102952.92,16160.23,8089.65,209810.67,82625.95,106883.75,20076.63,53214.87,38739.92
U10,Energía,2024Q2,COP,113246.15,16639.84,7833.09,216742.1,78705.52,114019.48,14806.69,60835.98,40646.62
U10,Energía,2024Q3,COP,117838.24,18503.39,8219.66,220402.26,78227.37,116428.62,17897.33,70380.82,52317.12
U10,Energía,2024Q4,COP,127526.08,18884.46,6670.72,221216.49,88932.06,118073.07,10645.79,60704.75,43968.57
U10,Energía,2025Q1,COP,109888.27,15382.21,7558.7,230431.91,95965.37,120191.87,15497.3,65425.81,45984.37
U10,Energía,2025Q2,COP,120477.16,18269.36,8672.73,224878.88,81258.32,118373.88,16659.44,78192.52,55756.11
U10,Energía,2025Q3,COP,127455.2,20104.2,8259.76,224870.05,83355.33,118340.1,15537.79,64509.17,46254.14
U10,Energía,2025Q4,COP,138798.39,20073.58,8381.85,231986.99,88504.03,120734.11,19066.87,63520.06,43730.07
U04,Retail,2024Q2,COP,65810.76,12505.57,6391.0,126170.32,52083.64,62466.96,8030.2,34878.19,25667.75
